averating,brand,dimension,frcolor,img,interface,keycap,led,logilayout,model,name,nreviews,physlayout,price,rollover,size,sku,switch,weight
5.0,KBParadise,"11.40"" x 3.90"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_KBP-V60GTR-_main.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,V60,KBParadise V60 GTR 60% Mechanical Keyboard,1,US QWERTY,$99.00,6,60%,KBP-V60GTR-B,Gateron Brown,1.20 lbs
5.0,KBParadise,"11.40"" x 3.90"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_KBP-V60GTR-_main.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,V60,KBParadise V60 GTR 60% Mechanical Keyboard,1,US QWERTY,$99.00,6,60%,KBP-V60GTR-R,Gateron Red,1.20 lbs
5.0,KBParadise,"11.40"" x 3.90"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_KBP-V60GTR-_main.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,V60,KBParadise V60 GTR 60% Mechanical Keyboard,1,US QWERTY,$99.00,6,60%,KBP-V60GTR-A,Gateron Black,1.20 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$139.00,Full,Tenkeyless,VA87MN2P/PP88V,Cherry MX Brown,2.41 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$139.00,Full,Tenkeyless,VA87MC2P/PP88V,Cherry MX Blue,2.41 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$139.00,Full,Tenkeyless,VA87MR2P/PP88V,Cherry MX Red,2.41 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$149.00,Full,Tenkeyless,VA87MP2P/PP88V,Cherry MX Silent Red,2.41 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$149.00,Full,Tenkeyless,VA87MS2P/PP88V,Cherry MX Silver,2.41 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$149.00,Full,Tenkeyless,VA87MH2P/PP88V,Cherry MX Silent Black,2.41 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$149.00,Full,Tenkeyless,VA87MW2P/PP88V,Cherry MX Clear,2.41 lbs
